candname,cf_score,district_num,geoid,num_votes,party
"ANKRUM, TED",-1.326762057,10,3390065,249.0,100
"MCCAUL, MICHAEL",1.078150772,10,3390065,889.0,200
"ANKRUM, TED",-1.326762057,10,3390029,283.0,100
"MCCAUL, MICHAEL",1.078150772,10,3390029,1299.0,200
"ANKRUM, TED",-1.326762057,10,3390066,193.0,100
"MCCAUL, MICHAEL",1.078150772,10,3390066,719.0,200
"ANKRUM, TED",-1.326762057,10,3950007,22.0,100
"MCCAUL, MICHAEL",1.078150772,10,3950007,14.0,200
"ANKRUM, TED",-1.326762057,10,214015,,100
"MCCAUL, MICHAEL",1.078150772,10,214015,,200
"ANKRUM, TED",-1.326762057,10,214008,187.0,100
"MCCAUL, MICHAEL",1.078150772,10,214008,151.0,200
"ANKRUM, TED",-1.326762057,10,211013,,100
"MCCAUL, MICHAEL",1.078150772,10,211013,,200
"ANKRUM, TED",-1.326762057,10,211021,411.0,100
"MCCAUL, MICHAEL",1.078150772,10,211021,351.0,200
"ANKRUM, TED",-1.326762057,10,214002,564.0,100
"MCCAUL, MICHAEL",1.078150772,10,214002,507.0,200
"ANKRUM, TED",-1.326762057,10,214006B,566.0,100
"MCCAUL, MICHAEL",1.078150772,10,214006B,498.0,200
"ANKRUM, TED",-1.326762057,10,2870301,21.0,100
"MCCAUL, MICHAEL",1.078150772,10,2870301,30.0,200
"ANKRUM, TED",-1.326762057,10,2870202,186.0,100
"MCCAUL, MICHAEL",1.078150772,10,2870202,475.0,200
