,geoid,congdist
694,009-AEX,8
695,009-AEY,8
696,009-AEZ,8
697,009-AFA,8
698,009-AFB,8
699,009-AFC,8
700,009-AFD,8
701,009-AFE,8
702,009-AFF,8
703,009-AFH,8
704,009-AFI,8
705,009-AFJ,8
706,009-AFK,8
707,009-AFL,8
708,009-AFM,8
709,009-AFN,8
710,009-AFO,8
711,009-AFP,8
712,009-AFQ,8
713,009-AFR,8
714,009-AFS,8
715,009-AFT,8
716,009-AFU,8
717,009-AFV,8
718,009-AFW,8
719,009-AFX,8
720,009-AFY,8
721,009-AFZ,8
722,009-AGA,8
723,009-AGB,1
724,009-AGC,1
725,009-AGC,8
726,009-AGD,1
727,009-AGE,1
728,009-AGF,1
729,009-AGG,1
730,009-AGH,1
731,009-AGH,8
732,009-AGJ,8
733,009-AGK,8
734,009-AGL,8
735,009-AGM,8
736,009-AGN,8
737,009-AGO,8
738,009-AGP,8
739,009-AGQ,8
740,009-AGR,8
741,009-AGS,8
742,009-AGT,8
743,009-AGU,8
744,009-AGV,8
745,009-AGW,8
746,009-AGX,8
747,009-AGY,8
748,009-AGZ,8
749,009-AHA,8
750,009-AHB,8
751,009-AHC,8
752,009-AHD,8
753,009-AHE,8
754,009-AHF,8
755,009-AHG,8
756,009-AHH,8
757,009-AHI,8
758,009-AHJ,1
759,009-AHK,1
760,009-AHL,1
761,009-AHM,1
762,009-AHN,1
763,009-AHO,8
764,009-AHP,8
765,009-AHQ,8
766,009-AHS,1
767,009-AHT,1
768,009-AHU,1
769,009-AHV,1
770,009-AHW,1
771,009-AHX,1
772,009-AHY,1
773,009-AHZ,1
774,009-AIA,1
775,009-AIB,8
776,009-AIC,8
777,009-AID,8
778,009-AIE,8
779,009-AIF,8
780,009-AIG,8
781,009-AIH,8
782,009-AII,8
783,009-AIJ,8
784,009-AIK,8
785,009-AIL,8
786,009-AIM,8
787,009-AIN,8
788,009-AIO,8
789,009-AIP,8
790,009-AIQ,8
791,009-AIS,8
792,009-AIT,8
793,009-AIU,8
794,009-AIV,8
795,009-AIW,8
796,009-AIX,8
797,009-AIY,8
798,009-AIZ,8
799,009-AJA,8
800,009-AJB,8
801,009-AJC,8
802,009-AJD,8
803,009-AJE,8
804,009-AJF,8
805,009-AJG,8
806,009-AJH,8
807,009-AJI,8
808,009-AJJ,8
809,009-AJK,8
810,009-AJL,8
811,009-AJM,8
812,009-AJN,8
813,009-AJO,8
814,009-AJP,8
815,009-AJQ,8
816,009-AJR,8
817,009-AJS,8
818,009-AJT,8
819,009-AJU,8
820,009-AJV,8
821,009-AJW,8
822,009-AJX,8
